stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
Route3B-0352_Gordon St. at Wellington St.,0352,Gordon St. at Wellington St.,,43.540815,-80.245214,,,,
Route3B-0353_Gordon St. at Water St.,0353,Gordon St. at Water St.,,43.53833,-80.245214,,,,
Route3B-0354_Gordon St. at Forbes Ave.,0354,Gordon St. at Forbes Ave.,,43.537154,-80.239813,,,,
Route3B-0355_Gordon St. at Dean Ave.,0355,Gordon St. at Dean Ave.,,43.534009,-80.235469,,,,
Route3B-0356_Gordon St. at College Ave.,0356,Gordon St. at College Ave.,,43.531512,-80.231928,,,,
Route3B-0357_University Centre,0357,University Centre,,43.529922,-80.225029,,,,
Route3B-0358_Stone Rd. E. at Arbour Medical Centre,0358,Stone Rd. E. at Arbour Medical Centre,,43.533101,-80.215941,,,,
Route3B-0359_Victoria Rd. S. at Stone Rd. E.,0359,Victoria Rd. S. at Stone Rd. E.,,43.538966,-80.208101,,,,
Route3B-0360_535 York Rd. at Tim Hortons,0360,535 York Rd. at Tim Hortons,,43.552095,-80.223504,,,,
Route3B-0361_York Rd. at Beaumont Cres.,0361,York Rd. at Beaumont Cres.,,43.554649,-80.22002,,,,
Route3B-0362_728 York Rd.,0362,728 York Rd.,,43.556909,-80.216868,,,,
Route3B-0363_785 York Rd.,0363,785 York Rd.,,43.558812,-80.214229,,,,
Route3B-0364_York Rd. At Watson Pkwy. N.,0364,York Rd. At Watson Pkwy. N.,,43.561500,-80.210523,,,,
Route3B-0365_Watson Pkwy. N. opposite Library,0365,Watson Pkwy. N. opposite Library,,43.566523,-80.211495,,,,
Route3B-0366_Watson Pkwy. N. at Fleming Rd.,0366,Watson Pkwy. N. at Fleming Rd.,,43.570403,-80.213451,,,,
Route3B-0367_Watson Pkwy. N. at Grange Rd.,0367,Watson Pkwy. N. at Grange Rd.,,43.573888,-80.218251,,,,
Route3B-0368_Watson Pkwy. N. at  Eastview Rd.,0368,Watson Pkwy. N. at  Eastview Rd.,,43.577843,-80.223768,,,,
Route3B-0369_Eastview Rd. at Summit Ridge Dr.,0369,Eastview Rd. at Summit Ridge Dr.,,43.572774,-80.231459,,,,
Route3B-0370_Eastview Rd. at Starwood Dr.,0370,Eastview Rd. at Starwood Dr.,,43.570083,-80.235092,,,,
Route3B-0371_Eastview Rd. at Mountford Dr.,0371,Eastview Rd. at Mountford Dr.,,43.567393,-80.238771,,,,
